Avg-7832,Avg-5411,Avg-5812,Avg-7032,Avg-5983,Avg-4111,Avg-5999,Avg-5691,Avg-4814,Avg-5621,TargetMCC1,AgeGroup_20,AgeGroup_30,AgeGroup_40,MaritalStatus_Married,MaritalStatus_Single,Day_Weekday,Day_Weekend,Gender_F,Gender_M,City_ISL,City_KHI,City_LHR
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,0,1,1,0,1,0,0,1,0
85,10,0,0,5,0,0,0,0,0,7832,0,1,0,0,1,1,0,0,1,1,0,0
10,10,0,48,24,0,0,0,4,0,7032,1,0,0,0,1,0,1,1,0,0,1,0
0,20,11,14,5,5,0,0,0,45,5621,1,0,0,0,1,1,0,1,0,0,1,0
10,2,0,59,24,5,0,0,0,0,7032,1,0,0,0,1,1,0,1,0,0,0,1
0,0,0,0,0,0,8,45,15,0,5691,1,0,0,0,1,1,0,1,0,0,0,1
85,10,0,0,5,0,0,0,0,0,7832,0,0,1,1,0,0,1,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,0,0,1,1,0,0,1,1,0,0,1,0
85,10,0,0,5,0,0,0,0,0,7832,0,0,1,0,1,0,1,0,1,1,0,0
10,2,0,59,24,5,0,0,0,0,7032,1,0,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
85,10,0,0,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,0,1,1,0,0
0,0,0,0,0,22,0,0,0,15,4111,1,0,0,0,1,1,0,0,1,0,1,0
0,0,0,0,0,0,8,45,15,0,5691,1,0,0,0,1,1,0,1,0,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,1,0,0,1,1,0,0,1,0
0,13,0,10,5,0,0,0,0,0,5411,0,1,0,0,1,1,0,1,0,1,0,0
10,12,20,62,21,5,0,0,4,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
65,0,10,10,25,0,0,0,0,0,7832,0,0,1,1,0,1,0,0,1,1,0,0
0,4,12,12,0,0,0,0,0,0,5812,0,1,0,0,1,1,0,0,1,0,1,0
0,16,69,20,0,0,0,0,0,0,5812,0,0,1,1,0,0,1,0,1,0,1,0
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,0,1,1,0,1,0,0,1,0
10,11,0,48,21,5,0,0,4,0,7032,0,1,0,0,1,0,1,1,0,1,0,0
0,40,10,0,5,5,5,45,0,0,5691,1,0,0,1,0,1,0,0,1,0,1,0
10,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,1,0,1,0,0,1,0
10,12,0,48,21,5,0,0,4,0,7032,0,1,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,1,0,1,0,0,1,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,0,0,1,1,0,0,1,0,1,1,0,0
10,22,20,10,5,5,5,0,0,0,5812,0,1,0,1,0,0,1,0,1,0,1,0
0,22,10,3,3,5,7,48,0,2,5691,0,0,1,1,0,0,1,1,0,1,0,0
10,5,20,0,32,0,15,38,0,0,5691,0,0,1,1,0,1,0,1,0,1,0,0
50,5,0,0,32,0,15,0,0,38,5621,1,0,0,1,0,0,1,0,1,0,0,1
10,5,40,0,32,0,15,0,0,38,5621,0,0,1,1,0,1,0,0,1,0,1,0
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,1,0,0,1,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,0,1,1,0,1,0,1,0,0
0,1,0,62,32,3,0,0,0,0,7032,0,0,1,1,0,0,1,0,1,1,0,0
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,0,1,1,0,1,0,1,0,0
0,5,0,0,32,0,15,0,0,0,5411,1,0,0,0,1,1,0,1,0,0,0,1
0,22,10,3,3,5,7,48,0,2,5691,0,1,0,1,0,1,0,1,0,1,0,0
0,22,10,3,3,5,7,48,0,2,5691,1,0,0,1,0,1,0,1,0,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,0,1,0
0,1,0,10,5,5,5,0,1,0,5411,1,0,0,0,1,1,0,0,1,0,1,0
10,12,0,48,21,5,0,0,4,0,7032,0,1,0,0,1,0,1,1,0,0,0,1
0,20,50,0,5,5,5,0,0,0,4111,1,0,0,0,1,1,0,1,0,0,1,0
85,0,0,0,0,20,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,0,1,0,1,1,0,1,0,0
10,38,0,0,32,0,15,10,0,38,5621,0,0,1,1,0,0,1,0,1,0,1,0
0,12,10,42,21,5,0,0,0,0,7032,1,0,0,1,0,0,1,0,1,0,0,1
0,0,0,5,18,0,15,0,0,0,5691,1,0,0,0,1,0,1,1,0,1,0,0
85,10,20,10,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,1,0,0,1,1,0,0,0,1
85,10,0,0,5,0,0,0,0,0,7832,0,0,1,0,1,0,1,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,0,1,0
65,0,0,0,0,20,0,15,0,0,7832,1,0,0,0,1,0,1,0,1,0,0,1
0,5,0,62,32,5,0,0,0,0,7032,0,0,1,1,0,0,1,0,1,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,0,1,0,1,1,0,0
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,0,1,1,0,1,0,1,0,0
10,5,0,0,32,22,0,0,0,31,5983,0,0,1,0,1,1,0,1,0,1,0,0
0,22,10,3,3,5,7,48,0,2,5691,0,1,0,1,0,0,1,1,0,0,0,1
0,2,0,42,21,5,0,0,0,0,7032,0,0,1,0,1,0,1,0,1,0,1,0
0,2,0,61,22,5,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
85,0,0,0,5,0,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,0,1
0,14,0,61,22,33,0,0,4,20,7032,0,0,1,1,0,1,0,0,1,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,0,1,0,0,1,1,0,1,0,0,1,0
0,11,69,20,0,0,0,0,0,0,5812,0,0,1,0,1,1,0,1,0,1,0,0
0,25,10,10,5,38,5,20,0,40,4111,0,0,1,1,0,1,0,1,0,1,0,0
85,0,10,0,5,0,0,0,0,0,7832,1,0,0,1,0,1,0,1,0,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,0,1,1,0,1,0,0,1,0
85,0,10,0,5,0,0,0,0,0,7832,1,0,0,0,1,1,0,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,1,0,1,0,1,0,0,1,0
0,13,69,18,0,0,0,0,0,0,5812,0,0,1,0,1,1,0,1,0,0,1,0
0,14,69,20,0,0,0,0,0,0,5812,0,1,0,0,1,1,0,1,0,0,1,0
10,2,0,59,32,5,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,0,1,1,0,1,0,1,0,0
0,44,0,0,5,25,5,20,1,0,5411,1,0,0,0,1,1,0,0,1,0,1,0
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,0,1,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,0,1,0,1,0,1,0,0,1,1,0,0
65,0,14,10,5,38,0,0,0,20,4111,0,0,1,1,0,1,0,0,1,0,1,0
0,44,0,0,5,25,5,20,1,0,5411,1,0,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,0,0,1,0,1,0,1,1,0,1,0,0
0,2,0,61,32,5,0,0,0,0,7032,0,0,1,0,1,1,0,0,1,0,0,1
65,0,0,0,0,20,0,15,0,0,7832,0,1,0,0,1,0,1,1,0,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,1,0,0
10,12,0,0,11,0,0,0,0,0,7832,0,1,0,0,1,0,1,0,1,1,0,0
85,0,10,0,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,1,0,0,1,0
10,12,0,48,21,5,0,0,4,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,1,0,0
10,5,0,0,32,0,15,38,0,0,5691,0,0,1,1,0,1,0,1,0,1,0,0
0,20,10,10,5,5,5,0,0,45,5621,0,0,1,0,1,0,1,0,1,1,0,0
10,12,0,58,24,5,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,1,0,0
0,21,10,3,3,5,7,48,0,2,5691,1,0,0,0,1,1,0,1,0,0,1,0
0,20,10,10,5,5,5,0,0,45,5621,0,1,0,0,1,1,0,0,1,0,1,0
0,0,0,0,8,3,5,0,0,0,5411,1,0,0,0,1,1,0,0,1,0,0,1
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,0,1,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,1,0,0
0,20,0,15,5,5,5,0,0,45,5621,0,1,0,0,1,1,0,1,0,1,0,0
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,0,1,0,1,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
0,0,0,0,7,2,5,48,0,0,5691,1,0,0,0,1,0,1,1,0,0,1,0
85,0,10,0,5,0,0,0,0,0,7832,0,1,0,1,0,1,0,1,0,0,1,0
65,0,0,0,0,20,0,15,0,0,7832,0,1,0,0,1,0,1,1,0,0,0,1
85,0,0,0,0,20,0,15,0,0,7832,1,0,0,0,1,1,0,1,0,0,0,1
0,2,0,51,32,5,5,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
0,1,0,62,31,5,0,0,0,0,7032,0,1,0,0,1,1,0,0,1,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,1,0,0,1,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
0,34,0,0,5,25,5,20,1,0,5411,0,1,0,0,1,1,0,1,0,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,0,1,0,1,1,0,1,0,0
0,25,10,10,5,5,5,5,15,0,5411,0,0,1,1,0,1,0,1,0,0,1,0
10,12,0,48,21,5,0,0,4,0,7032,1,0,0,0,1,0,1,0,1,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,1,0,0,1,0,0,1
5,1,0,61,32,0,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,0,1,1,0,0,1,1,0,1,0,0
10,5,0,0,32,0,15,38,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,0,1,1,0,1,0,1,0,0,0,1
65,5,0,0,32,20,0,0,0,31,4111,0,1,0,0,1,1,0,0,1,0,1,0
65,0,10,10,0,0,0,0,0,0,7832,0,0,1,0,1,0,1,1,0,1,0,0
10,25,20,10,25,5,5,5,15,0,5411,0,0,1,1,0,1,0,0,1,0,1,0
10,20,50,0,5,5,0,0,0,0,5812,1,0,0,1,0,1,0,1,0,0,1,0
0,0,0,61,32,0,15,0,15,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
65,10,22,10,1,0,0,0,0,0,7832,0,1,0,0,1,0,1,0,1,0,1,0
0,31,0,62,22,5,0,0,0,0,7032,0,0,1,1,0,1,0,0,1,0,1,0
0,10,0,10,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,1,0,1,0,0
0,0,0,42,32,5,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
0,22,10,3,3,5,7,48,0,2,5691,0,1,0,1,0,0,1,1,0,1,0,0
10,0,0,0,0,0,0,0,0,0,5812,1,0,0,0,1,1,0,1,0,0,1,0
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,0,1,0,1,1,0,0
10,12,0,48,21,5,0,0,4,0,7032,0,0,1,0,1,0,1,0,1,0,1,0
0,20,10,10,5,5,5,0,0,45,5621,0,0,1,0,1,1,0,0,1,0,1,0
65,10,14,10,11,0,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,1,0
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
85,10,0,0,5,0,0,0,0,0,7832,0,1,0,1,0,0,1,0,1,0,1,0
65,0,0,0,0,20,0,15,0,0,7832,0,1,0,0,1,0,1,1,0,0,0,1
0,13,69,18,0,0,0,0,0,0,5812,0,1,0,1,0,1,0,1,0,0,0,1
45,0,20,10,4,0,0,0,0,0,7832,0,0,1,1,0,0,1,0,1,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,1,0,1,0,0,0,1
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,0,1,1,0,1,0,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,1,0,1,0,1,0,0,1,0
85,10,10,10,5,0,0,0,0,0,7832,0,0,1,1,0,0,1,0,1,1,0,0
85,0,0,0,0,20,0,15,0,0,7832,0,1,0,1,0,0,1,1,0,1,0,0
0,20,20,10,5,5,5,45,0,0,5411,0,1,0,1,0,0,1,1,0,1,0,0
0,11,0,0,0,0,0,40,0,0,5691,0,0,1,0,1,0,1,1,0,1,0,0
65,0,14,10,5,0,0,0,0,0,7832,1,0,0,0,1,1,0,0,1,0,1,0
0,21,0,0,5,25,5,20,1,0,4111,0,1,0,0,1,1,0,1,0,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,1,0,0
0,10,0,0,5,0,0,0,0,0,5812,0,0,1,0,1,1,0,1,0,1,0,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,0,1,0
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,0,1,0,0,1,0,1,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,0,1,1,0,0,1,0,0,1
0,2,0,61,32,5,0,0,0,0,7032,0,0,1,0,1,1,0,1,0,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,0,1,0,1,0,1,0,0,1,0,0,1
0,22,10,3,3,5,7,48,0,2,5691,0,0,1,1,0,1,0,1,0,0,1,0
65,5,10,0,0,20,0,15,0,0,7832,0,0,1,1,0,0,1,1,0,0,1,0
0,2,0,62,32,5,0,0,0,0,7032,0,1,0,1,0,0,1,1,0,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,0,1,1,0,0,1,0,1,0
0,0,0,0,0,32,0,20,0,0,4111,0,0,1,1,0,1,0,1,0,1,0,0
10,25,20,10,5,5,5,0,0,0,5411,0,1,0,1,0,1,0,0,1,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,0,0,1,1,0,0,1,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,1,0,1,0,0,0,1
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,1,0,1,0,1,0,0,0,1
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,20,15,0,0,31,5983,0,1,0,1,0,1,0,0,1,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,0,1,1,0,1,0,1,0,0
0,20,10,10,5,38,5,0,0,45,5621,0,0,1,1,0,1,0,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,1,0,0,1,0
10,5,40,0,32,0,15,0,0,38,5621,0,1,0,1,0,0,1,1,0,1,0,0
10,15,0,49,21,5,0,0,4,0,7032,1,0,0,0,1,1,0,0,1,0,1,0
15,5,0,0,32,20,0,0,0,31,5983,0,0,1,1,0,1,0,0,1,0,1,0
65,20,0,0,5,0,0,0,0,0,7832,1,0,0,0,1,0,1,1,0,0,1,0
0,22,10,3,3,5,7,48,0,2,5691,0,0,1,1,0,0,1,0,1,1,0,0
10,25,10,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,0,0,1
10,0,0,0,0,0,0,0,0,0,5812,1,0,0,0,1,1,0,1,0,0,1,0
0,2,10,62,32,32,0,0,0,20,4111,0,0,1,1,0,1,0,0,1,0,0,1
0,0,0,62,32,0,0,0,0,0,7032,0,0,1,0,1,1,0,0,1,0,1,0
0,5,0,61,32,3,0,0,0,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,1,0,1,0,0,1,0,0,1
0,22,10,3,3,5,7,2,0,48,5621,0,0,1,1,0,1,0,1,0,0,1,0
0,44,0,0,25,25,5,20,1,0,5411,0,1,0,1,0,1,0,0,1,0,0,1
10,20,50,0,15,5,0,0,0,0,5812,0,1,0,1,0,0,1,1,0,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,1,0,0,1,0,1,0,1,0
65,0,0,0,0,20,0,15,0,0,7832,0,1,0,1,0,0,1,1,0,0,1,0
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,1,0,1,0,0,1,0
0,20,11,14,5,5,0,45,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
0,21,10,3,3,5,7,48,0,2,5691,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,61,32,5,0,0,0,0,7032,0,0,1,0,1,1,0,0,1,1,0,0
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
0,2,0,62,22,5,0,0,0,0,7032,0,1,0,1,0,0,1,0,1,0,0,1
10,25,20,0,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,1,0,1,0,0
0,20,50,42,25,5,0,0,0,0,7032,0,1,0,0,1,1,0,1,0,0,1,0
10,2,0,59,24,5,0,0,0,0,7032,1,0,0,1,0,1,0,0,1,0,1,0
10,0,0,0,20,0,0,0,0,0,5812,0,1,0,0,1,0,1,1,0,1,0,0
0,22,10,3,3,5,7,2,0,48,5621,0,1,0,1,0,0,1,1,0,0,0,1
10,15,20,10,5,0,5,0,0,0,5411,1,0,0,0,1,1,0,0,1,0,1,0
65,0,0,0,0,20,0,15,0,0,7832,1,0,0,0,1,0,1,0,1,1,0,0
10,12,0,48,21,5,0,0,4,0,7032,1,0,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,2,0,0,0,38,5621,1,0,0,1,0,1,0,0,1,1,0,0
2,41,0,0,25,38,5,10,1,0,4111,0,0,1,1,0,1,0,1,0,0,1,0
0,22,10,3,3,5,7,2,0,48,5621,0,0,1,1,0,0,1,1,0,0,0,1
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,0,1,1,0,0,0,1
0,2,0,61,31,5,0,0,0,0,7032,1,0,0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,32,6,40,0,18,4111,0,0,1,1,0,0,1,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,1,0,0,1,0,1,0
0,20,10,10,5,5,5,45,0,0,5691,0,1,0,1,0,0,1,1,0,0,0,1
10,5,0,0,32,0,15,0,0,38,5621,0,1,0,1,0,0,1,0,1,0,0,1
10,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,1,0,0,1,1,0,0
0,10,40,10,5,28,5,0,0,20,4111,0,0,1,1,0,1,0,1,0,0,1,0
0,0,10,10,0,33,5,45,15,0,4111,0,0,1,1,0,1,0,0,1,1,0,0
10,2,0,59,24,5,0,0,0,0,7032,0,0,1,1,0,1,0,0,1,0,1,0
10,5,0,0,32,22,5,0,0,31,5983,0,1,0,0,1,1,0,0,1,1,0,0
0,0,0,62,22,5,0,0,0,0,7032,1,0,0,1,0,0,1,0,1,0,0,1
0,22,10,3,3,5,7,2,0,48,5621,1,0,0,1,0,1,0,1,0,0,1,0
0,4,0,61,32,5,0,0,0,0,7032,0,0,1,0,1,1,0,0,1,0,1,0
0,10,0,10,5,0,5,0,0,0,5411,0,0,1,0,1,1,0,0,1,1,0,0
0,11,69,20,0,0,0,0,0,0,5812,1,0,0,0,1,0,1,0,1,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,1,0,1,0,0,1,0,1,0
0,10,69,18,0,0,0,0,0,0,5812,1,0,0,0,1,1,0,0,1,0,1,0
85,10,10,0,5,0,0,0,0,0,7832,0,1,0,1,0,0,1,0,1,0,0,1
0,20,10,10,5,5,5,45,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
65,10,14,10,1,0,0,0,0,0,7832,0,0,1,0,1,0,1,0,1,0,1,0
0,20,10,10,5,5,5,0,0,45,5621,0,0,1,1,0,1,0,1,0,0,1,0
0,44,0,61,32,5,0,0,4,0,7032,1,0,0,0,1,1,0,0,1,0,0,1
65,5,10,10,5,0,0,0,0,0,7832,0,1,0,1,0,0,1,0,1,1,0,0
40,25,20,10,5,5,5,5,15,0,5411,0,1,0,1,0,0,1,0,1,0,0,1
10,5,0,0,32,0,15,38,0,0,5691,0,0,1,1,0,1,0,1,0,0,1,0
0,0,0,5,0,0,8,48,15,20,5691,1,0,0,0,1,0,1,1,0,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,1,0,0,1,0,1,0,1,0,0,1,0
10,12,0,48,21,5,0,0,4,0,7032,1,0,0,0,1,0,1,0,1,0,0,1
0,20,10,10,5,5,5,0,0,45,5621,0,1,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,0,15,38,0,0,5691,1,0,0,0,1,1,0,1,0,0,0,1
10,0,0,0,4,0,5,0,0,0,5812,1,0,0,0,1,1,0,1,0,0,1,0
10,5,0,0,32,0,15,0,0,38,5621,0,1,0,1,0,0,1,0,1,0,0,1
55,0,10,0,0,20,0,15,0,0,7832,0,0,1,1,0,0,1,0,1,1,0,0
10,5,0,0,32,0,15,0,0,38,5621,1,0,0,0,1,0,1,0,1,1,0,0
85,10,0,0,5,0,0,0,0,0,7832,0,1,0,0,1,0,1,1,0,0,1,0
0,12,10,10,5,38,5,0,0,20,4111,0,0,1,1,0,1,0,0,1,0,1,0
0,4,0,62,32,5,0,0,0,0,7032,0,0,1,1,0,1,0,0,1,0,0,1
10,5,0,0,32,0,15,38,0,0,5691,0,1,0,1,0,1,0,1,0,0,0,1
65,0,0,0,0,0,0,45,0,0,7832,1,0,0,0,1,0,1,1,0,1,0,0
0,11,0,62,25,5,0,0,0,0,7032,1,0,0,0,1,1,0,1,0,0,0,1
65,10,0,0,15,0,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,0,1
0,10,69,18,0,0,0,0,0,0,5812,0,1,0,0,1,0,1,0,1,0,1,0
0,0,0,5,0,38,6,45,15,20,4111,0,0,1,0,1,1,0,0,1,1,0,0
0,0,0,61,21,2,0,0,0,20,7032,1,0,0,0,1,0,1,0,1,1,0,0
10,5,0,0,32,0,15,38,0,0,5691,1,0,0,0,1,1,0,1,0,0,1,0
65,0,10,0,5,0,0,0,0,0,7832,1,0,0,0,1,0,1,0,1,0,0,1
85,0,0,0,0,0,0,0,0,0,7832,1,0,0,0,1,0,1,1,0,1,0,0
0,5,10,0,30,0,15,48,0,0,5691,0,0,1,1,0,1,0,1,0,0,0,1
